Datum,Zeit,Ort,Reh,Ricke,Rehbock,Kitz,Hase,Ricke_und_Kitz,Fuchs,Keiler,Bache,Frischlinge,Wildschwein
28/07/2017,18:40:00,Unter_den_Haeusern,0,1,0,0,1,0,0,0,0,0,0
28/07/2017,18:40:00,Steiler_Weg,0,0,0,1,0,0,0,0,0,0,0
28/07/2017,18:40:00,Bank,0,1,0,0,1,0,0,0,0,0,0
28/07/2017,18:40:00,Grillhuette,0,0,0,0,0,1,0,0,0,0,0
29/07/2017,19:10:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
29/07/2017,19:10:00,Steiler_Weg,0,0,0,1,0,0,0,0,0,0,0
29/07/2017,19:10:00,Grillhuette,1,1,1,0,0,0,1,0,0,0,0
30/07/2017,19:10:00,Unter_den_Haeusern,0,1,0,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Steiler_Weg,0,1,0,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Wegen_zur_Strasse,0,0,1,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Bank,1,2,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Obstgrundstueck,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Dollmann,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Clausen,0,0,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Steiler_Weg,0,1,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Grillhuette,0,1,1,3,0,0,0,0,0,0,0
01/08/2017,19:10:00,Steiler_Weg,1,0,0,0,0,0,0,0,0,0,0
01/08/2017,19:10:00,Bank,0,0,0,0,1,0,0,0,0,0,0
01/08/2017,19:10:00,Rehland,0,0,0,0,0,1,0,0,0,0,0
02/08/2017,19:40:00,Bart_Wingert,0,1,1,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Rehland,0,1,0,0,0,1,0,0,0,0,0
02/08/2017,19:40:00,Schaefer_Wingert,0,1,0,0,0,0,0,0,0,0,0
03/08/2017,19:50:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
03/08/2017,19:50:00,Rohr,0,1,0,0,0,0,0,0,0,0,0
03/08/2017,19:50:00,Schlamberg,0,0,0,0,1,0,0,0,0,0,0
03/08/2017,19:50:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
04/08/2017,19:40:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
04/08/2017,19:40:00,Rohr,0,1,0,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Rehland,0,2,0,0,0,1,0,0,0,0,0
04/08/2017,19:40:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
05/08/2017,19:15:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
05/08/2017,19:15:00,Forstberg,0,1,1,0,1,1,0,0,0,0,0
05/08/2017,19:15:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
05/08/2017,19:15:00,Hochmess,0,0,0,0,1,0,0,0,0,0,0
05/08/2017,19:15:00,Rehland,0,0,0,0,1,2,0,0,0,0,0
06/08/2017,19:20:00,Forstberg,0,3,1,0,1,1,0,0,0,0,0
06/08/2017,19:20:00,Schlamberg,0,0,0,0,1,0,0,0,0,0,0
06/08/2017,19:20:00,Rehland,0,1,0,0,2,2,0,0,0,0,0
07/08/2017,19:45:00,Forstberg,0,2,1,0,1,0,0,0,0,0,0
07/08/2017,19:45:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
07/08/2017,19:45:00,Rehland,0,2,1,2,1,0,0,0,0,0,0
08/08/2017,19:45:00,Bart_Wingert,1,0,0,0,0,0,0,0,0,0,0
08/08/2017,19:45:00,Forstberg,0,3,2,1,1,1,0,0,0,0,0
08/08/2017,19:45:00,Rehland,0,1,0,1,4,0,0,0,0,0,0
08/08/2017,19:45:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
09/08/2017,19:25:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
09/08/2017,19:25:00,Forstberg,0,2,1,0,1,0,0,0,0,0,0
09/08/2017,19:25:00,Rehland,0,0,0,1,2,1,0,0,0,0,0
10/08/2017,19:00:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
10/08/2017,19:00:00,Forstberg,0,2,0,0,0,1,0,0,0,0,0
10/08/2017,19:00:00,Rehland,0,2,0,0,0,1,0,0,0,0,0
12/08/2017,18:55:00,Schaefer_Wingert,0,2,0,0,0,0,0,0,0,0,0
12/08/2017,18:55:00,Harmsen,0,1,0,0,0,0,0,0,0,0,0
12/08/2017,18:55:00,Ziegenmann_II,0,0,0,0,1,0,0,0,0,0,0
12/08/2017,18:55:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
12/08/2017,18:55:00,Hochmess,0,0,0,0,2,0,0,0,0,0,0
12/08/2017,18:55:00,Rehland,0,2,1,0,3,1,0,0,0,0,0
13/08/2017,19:00:00,Harmsen,0,1,0,0,0,0,0,0,0,0,4
13/08/2017,19:00:00,Forstberg,0,2,1,0,1,1,0,0,0,0,0
13/08/2017,19:00:00,Rehland,0,0,1,0,0,0,0,0,0,0,0
14/08/2017,19:10:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
14/08/2017,19:10:00,Rehland,0,1,0,1,1,0,0,0,0,0,0
14/08/2017,19:10:00,Schaefer_Wingert,0,1,0,0,0,0,0,0,0,0,0
15/08/2017,19:00:00,Grundstuecke,0,1,0,0,0,0,0,0,0,0,0
15/08/2017,19:00:00,Forstberg,0,2,0,0,1,0,0,0,0,0,0
15/08/2017,19:00:00,Rehland,0,1,0,2,2,0,0,0,0,0,0
15/08/2017,19:00:00,Schaefer_Wingert,0,1,0,1,0,0,0,0,0,0,0
16/08/2017,19:15:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
16/08/2017,19:15:00,Hochmess,0,0,0,0,1,0,0,0,0,0,0
16/08/2017,19:15:00,Forstberg,0,0,0,0,0,1,0,0,0,0,0
16/08/2017,19:15:00,Rehland,0,0,0,0,2,2,0,0,0,0,0
17/08/2017,19:20:00,Haeuser,0,1,0,0,0,0,0,0,0,0,0
17/08/2017,19:20:00,Forstberg,0,2,0,0,0,1,0,0,0,0,0
17/08/2017,19:20:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
17/08/2017,19:20:00,Rehland,0,0,0,0,1,0,0,0,0,0,0
17/08/2017,19:20:00,Schaefer_Wingert,0,2,0,0,0,0,0,0,0,0,0
19/08/2017,19:15:00,Forstberg,0,1,0,0,1,0,0,0,0,0,0
19/08/2017,19:15:00,Hochmess,0,0,0,0,1,0,0,0,0,0,0
19/08/2017,19:15:00,Rehland,0,2,0,1,0,1,0,0,0,0,0
20/08/2017,19:00:00,Haeuser,0,1,0,0,0,0,0,0,0,0,0
20/08/2017,19:00:00,Forstberg,0,3,1,0,0,2,0,0,0,0,0
20/08/2017,19:00:00,Rehland,0,2,2,0,0,1,0,0,0,0,0
20/08/2017,19:00:00,Schaefer_Wingert,0,1,0,0,0,0,0,0,0,0,0
21/08/2017,07:30:00,Ziegenmann_II,0,1,0,0,0,0,0,0,0,0,0
21/08/2017,07:30:00,Obstgrundstueck,0,0,0,0,0,1,0,0,0,0,0
21/08/2017,07:30:00,Hochmess,0,0,0,0,1,1,0,0,0,0,0
21/08/2017,07:30:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
21/08/2017,19:10:00,Forstberg,0,1,0,0,0,1,0,0,0,0,0
21/08/2017,19:10:00,Schlamberg,1,1,1,0,1,0,0,0,0,0,0
21/08/2017,19:10:00,Rehland,,1,0,0,0,0,0,0,0,0,0
22/08/2017,18:50:00,Forstberg,0,1,1,0,2,0,0,0,0,0,0
22/08/2017,18:50:00,Haeuser,0,0,0,0,0,1,0,0,0,0,0
22/08/2017,18:50:00,Rehland,1,0,1,0,0,0,0,0,0,0,0
23/08/2017,07:50:00,Hochmess,0,0,0,0,1,0,0,0,0,0,0
23/08/2017,19:15:00,Forstberg,0,2,0,0,1,0,0,0,0,0,0
23/08/2017,19:15:00,Rehland,0,1,0,0,1,0,0,0,0,0,0
24/08/2017,07:50:00,Hochmess,0,0,0,0,2,0,0,0,0,0,0
24/08/2017,18:45:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
24/08/2017,18:45:00,Forstberg,0,4,0,0,0,0,0,0,0,0,0
24/08/2017,18:45:00,Rehland,0,1,0,1,1,0,0,0,0,0,0
25/08/2017,07:25:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
25/08/2017,07:25:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
28/08/2017,08:00:00,Obstgrundstueck,0,0,0,0,0,1,0,0,0,0,0
28/08/2017,08:00:00,Forstberg,2,0,0,0,1,0,0,0,0,0,0
28/08/2017,08:00:00,Hochmess,0,0,0,0,0,1,0,0,0,0,0
28/08/2017,18:45:00,Haeuser,0,0,0,0,0,1,0,0,0,0,0
28/08/2017,18:45:00,Hochmess,0,2,0,0,1,0,0,0,0,0,0
28/08/2017,18:45:00,Rehland,0,2,0,0,1,1,0,0,0,0,0
28/08/2017,18:45:00,Schaefer_Wingert,0,0,1,0,0,0,0,0,0,0,0
29/08/2017,18:30:00,Forstberg,0,3,0,1,0,0,0,0,0,0,0
29/08/2017,18:30:00,Rehland,0,1,0,0,2,0,0,0,0,0,0
30/08/2017,19:40:00,Schlamberg,0,0,0,0,0,1,0,0,0,0,0
30/08/2017,19:40:00,Bienenwiese,0,1,0,0,0,0,0,0,0,0,0
30/08/2017,19:40:00,Forstberg,0,2,1,0,1,0,0,0,0,0,0
30/08/2017,19:40:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
31/08/2017,17:30:00,Halsbergstrasse,1,0,0,0,0,0,0,0,0,0,0
31/08/2017,18:40:00,Haeuser,0,2,0,1,0,0,0,0,0,0,0
31/08/2017,18:40:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
31/08/2017,18:40:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
31/08/2017,18:40:00,Rehland,0,1,0,0,0,1,0,0,0,0,0
31/08/2017,18:40:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
31/08/2017,19:00:00,Halsbergstrasse,0,2,0,0,0,0,0,0,0,0,0
01/09/2017,18:55:00,Obstgrundstueck,0,0,0,0,0,1,0,0,0,0,0
01/09/2017,18:55:00,Forstberg,0,3,0,1,1,0,0,0,0,0,0
01/09/2017,18:55:00,Rehland,0,4,0,1,1,0,0,0,0,0,0
02/09/2017,07:00:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
02/09/2017,07:00:00,Forstberg,0,1,0,0,3,0,0,0,0,0,0
02/09/2017,07:00:00,Rehland,0,2,1,0,3,0,0,0,0,0,0
02/09/2017,07:00:00,Schaefer_Wingert,1,1,0,0,0,0,0,0,0,0,0
03/09/2017,18:30:00,Forstberg,0,3,0,0,0,0,0,0,0,0,0
03/09/2017,18:30:00,Hochbenn,0,1,0,1,0,0,0,0,0,0,0
03/09/2017,18:30:00,Rehland,0,0,0,1,1,1,0,0,0,0,0
04/09/2017,08:00:00,Hochbenn,0,0,0,0,1,0,0,0,0,0,0
04/09/2017,08:00:00,Rehland,0,2,0,1,0,0,0,0,0,0,0
08/09/2017,18:30:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
08/09/2017,18:30:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
08/09/2017,18:30:00,Rehland,0,3,1,0,0,1,0,0,0,0,0
08/09/2017,18:30:00,Ziegenmann_II,0,0,0,0,1,0,0,0,0,0,0
09/09/2017,10:00:00,Bart_Wingert,1,0,0,0,0,0,0,0,0,0,0
09/09/2017,10:00:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
09/09/2017,10:00:00,Rehland,0,0,0,0,0,1,0,0,0,0,0
10/09/2017,19:15:00,Forstberg,0,3,1,0,0,0,0,0,0,0,0
10/09/2017,19:15:00,Schlamberg,0,1,0,0,0,0,0,0,0,0,0
10/09/2017,19:15:00,Rehland,0,5,0,0,3,0,0,0,0,0,0
11/09/2017,18:35:00,Forstberg,0,2,0,1,0,0,0,0,0,0,0
11/09/2017,18:35:00,Rehland,0,1,0,0,3,2,0,0,0,0,0
12/09/2017,18:30:00,Forstberg,0,3,1,0,1,0,0,0,0,0,0
12/09/2017,18:30:00,Schlamberg,0,0,0,0,0,1,0,0,0,0,0
12/09/2017,18:30:00,Rehland,1,4,0,0,2,1,0,0,0,0,0
12/09/2017,18:30:00,Bienenhaus,1,0,0,0,0,0,0,0,0,0,0
15/09/2017,07:15:00,Rumpelstielzchen,1,0,0,0,0,0,0,0,0,0,0
15/09/2017,07:15:00,Bart_Wingert,2,0,0,0,0,0,0,0,0,0,0
15/09/2017,07:15:00,Steiler_Weg,2,0,0,0,0,0,0,0,0,0,0
15/09/2017,07:15:00,Ziegenmann_II,1,0,0,0,0,0,0,0,0,0,0
30/09/2017,11:00:00,Rehland,0,1,0,1,0,0,0,0,0,0,0
30/09/2017,18:45:00,Halsbergstrasse,0,1,0,0,0,0,0,0,0,0,0
01/10/2017,10:55:00,Hochmess,2,0,0,0,0,0,0,0,0,0,0
01/10/2017,10:55:00,Rehland,2,0,1,0,0,0,0,0,0,0,0
01/10/2017,18:00:00,Obstgrundstueck,0,0,0,0,0,1,0,0,0,0,0
01/10/2017,18:00:00,Forstberg,0,2,0,0,1,0,0,0,0,0,0
01/10/2017,18:00:00,Brunnen/Schlamberg,0,1,0,0,0,0,0,0,0,0,0
01/10/2017,18:00:00,Rehland,0,2,0,1,2,0,0,0,0,0,0
02/10/2017,09:20:00,Rehland,0,2,1,1,0,1,0,0,0,0,0
02/10/2017,17:40:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
02/10/2017,17:40:00,Rehland,0,2,2,1,1,0,0,0,0,0,0
03/10/2017,17:30:00,Forstberg,0,1,0,0,3,0,0,0,0,0,0
03/10/2017,17:30:00,Schaefer_Wingert,0,1,0,0,0,0,0,0,0,0,0
04/1072017,08:10:00,Schaefer_Wingert,0,1,0,0,0,1,0,0,0,0,0
04/1072017,08:10:00,Hochbenn,0,0,0,0,0,1,0,0,0,0,0
21/10/2017,17:30:00,Rehland,1,1,0,0,2,1,0,0,0,0,0
22/10/2017,08:45:00,Forstberg,0,0,0,0,0,1,0,0,0,0,0
22/10/2017,08:45:00,Rehland,0,4,0,0,0,0,0,0,0,0,0
22/10/2017,17:25:00,Haeuser,0,0,1,0,0,0,0,0,0,0,0
22/10/2017,17:25:00,Rehland,0,1,1,0,1,1,0,0,0,0,0
23/10/2017,07:45:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
23/10/2017,07:45:00,Haeuser,2,2,0,0,0,0,0,0,0,0,0
23/10/2017,07:45:00,Forstberg,0,3,1,0,0,0,0,0,0,0,0
23/10/2017,07:45:00,Annaberg,0,0,0,0,0,0,1,0,0,0,0
23/10/2017,07:45:00,Hochmess,0,0,0,0,2,0,0,0,0,0,0
23/10/2017,17:30:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
23/10/2017,17:30:00,Rehland,0,0,0,0,1,0,0,0,0,0,0
24/10/2017,07:50:00,Ziegenmann_II,0,0,0,0,0,0,0,0,1,4,2
24/10/2017,07:50:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
24/10/2017,07:50:00,Hochmess,0,1,0,0,0,0,0,0,0,0,0
24/10/2017,07:50:00,Rehland,0,1,0,0,0,2,0,0,0,0,0
03/11/2017,07:40:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
03/11/2017,16:15:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,08:50:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,08:50:00,Grundstueck_mit_Schlagbaum,0,2,0,0,0,0,0,0,0,0,0
04/11/2017,15:30:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
05/11/2017,16:00:00,Forstberg,0,0,0,0,0,1,0,0,0,0,0
05/11/2017,16:00:00,Rehland,0,0,0,0,1,0,0,0,0,0,0
