Name;Name Latein;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Haussperling;Passer domesticus;24. 01. 2021;10:53:33;1;48,51462;9,07047;
Blaumeise;Cyanistes caeruleus;24. 01. 2021;11:36:14;1;48,5242;9,05655;
Kohlmeise;Parus major;24. 01. 2021;11:36:24;1;48,52429;9,05684;
Amsel;Turdus merula;24. 01. 2021;11:36:51;2;48,52396;9,05657;
Buchfink;Fringilla coelebs;24. 01. 2021;11:36:38;5;48,52425;9,0567;
Dohle;Coloeus monedula;24. 01. 2021;11:44:37;20;48,52587;9,05739;
Blaumeise;Cyanistes caeruleus;24. 01. 2021;12:09:31;2;48,53244;9,04649;
Kleiber;Sitta europaea;24. 01. 2021;12:11:22;1;48,53073;9,04689;
Kohlmeise;Parus major;24. 01. 2021;12:18:48;3;48,53447;9,0425;
Rotkehlchen;Erithacus rubecula;24. 01. 2021;12:25:16;1;48,5333;9,04179;
Rotkehlchen;Erithacus rubecula;24. 01. 2021;12:27:02;1;48,53268;9,04104;
Kohlmeise;Parus major;24. 01. 2021;12:42:27;3;48,53982;9,03732;
Blaumeise;Cyanistes caeruleus;24. 01. 2021;12:42:40;1;48,53972;9,03714;
Amsel;Turdus merula;24. 01. 2021;12:42:45;1;48,5397;9,03708;
Buchfink;Fringilla coelebs;24. 01. 2021;12:44:02;6;48,54042;9,03623;
Kohlmeise;Parus major;24. 01. 2021;12:44:14;5;48,53995;9,03686;
Blaumeise;Cyanistes caeruleus;24. 01. 2021;12:44:24;5;48,53991;9,03683;
Kohlmeise;Parus major;24. 01. 2021;13:07:39;5;48,53111;9,03664;
Blaumeise;Cyanistes caeruleus;24. 01. 2021;13:07:49;5;48,54052;9,02489;
Buchfink;Fringilla coelebs;24. 01. 2021;13:07:59;5;48,54047;9,02475;
Bergfink;Fringilla montifringilla;24. 01. 2021;13:08:14;1;48,54045;9,02473;
Buntspecht;Dendrocopos major;24. 01. 2021;13:43:46;1;48,54111;9,00701;
Kleiber;Sitta europaea;24. 01. 2021;13:52:02;1;48,54216;9,00626;
Buchfink;Fringilla coelebs;24. 01. 2021;13:57:40;1;48,54334;9,00559;
Gr체nfink;Chloris chloris;24. 01. 2021;13:57:47;1;48,54318;9,00554;
Kleiber;Sitta europaea;24. 01. 2021;13:58:02;1;48,54329;9,00559;
Schwanzmeise;Aegithalos caudatus;24. 01. 2021;14:07:19;3;48,54432;9,00759;
Buntspecht;Dendrocopos major;24. 01. 2021;14:07:43;2;48,54435;9,00747;
Gimpel;Pyrrhula pyrrhula;24. 01. 2021;14:07:52;1;48,54433;9,00709;
Buchfink;Fringilla coelebs;24. 01. 2021;14:08:35;5;48,54434;9,00769;
Eichelh채her;Garrulus glandarius;24. 01. 2021;14:10:47;1;48,54437;9,00767;
Turmfalke;Falco tinnunculus;24. 01. 2021;14:38:11;1;48,54228;9,01346;
Wintergoldh채hnchen;Regulus regulus;24. 01. 2021;15:24:03;1;48,51399;9,06579;
Gartenbauml채ufer;Certhia brachydactyla;24. 01. 2021;15:29:25;1;48,54201;9,03814;
Turmfalke;Falco tinnunculus;24. 01. 2021;16:10:54;1;48,51558;9,06361;
